Year,No.,Title,Winner?,USD Budget,USD Box Office
1928,1st,Wings,TRUE,2000000,
1928,1st,The Racket,FALSE,,
1928,1st,Seventh Heaven,FALSE,,1750000
1929,2nd,The Broadway Melody,TRUE,,3000000
1929,2nd,Alibi,FALSE,,
1929,2nd,Hollywood Revue,FALSE,426000,
1929,2nd,In Old Arizona,FALSE,,1300000
1929,2nd,The Patriot,FALSE,1000000,
1930,3rd,All Quiet on the Western Front,TRUE,1200000,1500000
1930,3rd,The Big House,FALSE,,
1930,3rd,Disraeli,FALSE,,
1930,3rd,The Divorcee,FALSE,,
1930,3rd,The Love Parade,FALSE,,
1931,4th,Cimarron,TRUE,1433000,1383000
1931,4th,East Lynne,FALSE,,
1931,4th,The Front Page,FALSE,,700000
1931,4th,Skippy,FALSE,,
1931,4th,Trader Horn,FALSE,1300000,
1932,5th,Grand Hotel,TRUE,750000,2250000
1932,5th,Arrowsmith,FALSE,,1250000
1932,5th,Bad Girl,FALSE,,1100000
1932,5th,The Champ,FALSE,,1500000
1932,5th,Five Star Final,FALSE,,
1932,5th,One Hour with You,FALSE,,
1932,5th,Shanghai Express,FALSE,,
1932,5th,The Smiling Lieutenant,FALSE,,
1933,6th,Cavalcade,TRUE,1180280,3500000
1933,6th,42nd Street,FALSE,439000,2250000
1933,6th,A Farewell to Arms,FALSE,900000,
1933,6th,I Am a Fugitive from a Chain Gang,FALSE,,
1933,6th,Lady for a Day,FALSE,300000,
1933,6th,Little Women,FALSE,424000,2000000
1933,6th,The Private Life of Henry VIII,FALSE,102050,1177500
1933,6th,She Done Him Wrong,FALSE,200000,2200000
1933,6th,Smilin' Through,FALSE,851000,1004000
1933,6th,State Fair,FALSE,600000,1800000
1934,7th,It Happened One Night,TRUE,325000,2500000
1934,7th,The Barretts of Wimpole Street,FALSE,820000,1258000
1934,7th,Cleopatra,FALSE,,
1934,7th,Flirtation Walk,FALSE,,
1934,7th,The Gay Divorcee,FALSE,520000,1774000
1934,7th,Here Comes the Navy,FALSE,,
1934,7th,The House of Rothschild,FALSE,,
1934,7th,Imitation of Life,FALSE,,
1934,7th,One Night of Love,FALSE,,
1934,7th,The Thin Man,FALSE,226408,1423000
1934,7th,Viva Villa!,FALSE,1000000,
1934,7th,The White Parade,FALSE,,
1935,8th,Mutiny on the Bounty,TRUE,1950000,4460000
1935,8th,Alice Adams,FALSE,342000,770000
1935,8th,Broadway Melody of 1936,FALSE,1062000,2871000
1935,8th,Captain Blood,FALSE,1000000,
1935,8th,David Copperfield,FALSE,1073000,1621000
1935,8th,The Informer,FALSE,243000,950000
1935,8th,The Lives of a Bengal Lancer,FALSE,,49000000
1935,8th,A Midsummer Night's Dream,FALSE,981000,1229000
1935,8th,Les Mis̩rables,FALSE,,
1935,8th,Naughty Marietta,FALSE,782000,1058000
1935,8th,Ruggles of Red Gap,FALSE,,
1935,8th,Top Hat,FALSE,609000,3202000
1936,9th,The Great Ziegfeld,TRUE,2183000,4673000
1936,9th,Anthony Adverse,FALSE,,
1936,9th,Dodsworth,FALSE,,1600000
1936,9th,Libeled Lady,FALSE,603000,2723000
1936,9th,Mr. Deeds Goes to Town,FALSE,845710,1000000
1936,9th,Romeo and Juliet,FALSE,2066000,962000
1936,9th,San Francisco,FALSE,1300000,2868000
1936,9th,The Story of Louis Pasteur,FALSE,,
1936,9th,A Tale of Two Cities,FALSE,1232000,1111000
1936,9th,Three Smart Girls,FALSE,,
1937,10th,The Life of Emile Zola,TRUE,,
1937,10th,The Awful Truth,FALSE,,3000000
1937,10th,Captains Courageous,FALSE,1645000,3133000
1937,10th,Dead End,FALSE,900000,
1937,10th,The Good Earth,FALSE,2816000,3557000
1937,10th,In Old Chicago,FALSE,,
1937,10th,Lost Horizon,FALSE,2000000,
1937,10th,One Hundred Men and a Girl,FALSE,,
1937,10th,Stage Door,FALSE,952000,1762000
1937,10th,A Star Is Born,FALSE,1159000,2000000
1938,11th,You Can't Take It With You,TRUE,1644736,2137575
1938,11th,The Adventures of Robin Hood,FALSE,2033000,3981000
1938,11th,Alexander's Ragtime Band,FALSE,1200000,3600000
1938,11th,Boys Town,FALSE,772000,4058000
1938,11th,The Citadel,FALSE,1012000,987000
1938,11th,Four Daughters,FALSE,,
1938,11th,Grand Illusion,FALSE,,
1938,11th,Jezebel,FALSE,1250000,
1938,11th,Pygmalion,FALSE,136590,1400000
1938,11th,Test Pilot,FALSE,1701000,3903000
1939,12th,Gone with the Wind,TRUE,3850000,390000000
1939,12th,Dark Victory,FALSE,,
1939,12th,"Goodbye, Mr. Chips",FALSE,1051000,3252000
1939,12th,Love Affair,FALSE,860000,1750000
1939,12th,Mr. Smith Goes to Washington,FALSE,1500000,9000000
1939,12th,Ninotchka,FALSE,1365000,
1939,12th,Of Mice and Men,FALSE,,
1939,12th,Stagecoach,FALSE,531374,1103757
1939,12th,The Wizard of Oz,FALSE,2777000,3017000
1939,12th,Wuthering Heights,FALSE,,624643
1940,13th,Rebecca,TRUE,1288000,6000000
1940,13th,"All This, and Heaven Too",FALSE,,
1940,13th,Foreign Correspondent,FALSE,1484167,1598435
1940,13th,The Grapes of Wrath,FALSE,800000,2500000
1940,13th,The Great Dictator,FALSE,2000000,5000000
